postDates,tweets,sentiment_label,polarity_score
2021-10-14T10:29:35.000Z,una deliciosa experiencia votar en #realidadaumentada lo mejor de los dos mundos,pos,1.166
2021-09-23T23:35:56.000Z,Nuevo Wereable se impone #id #csj #RealidadAumentada,neu,0
2021-08-14T11:17:49.000Z,Como va a “vender” la Publicidad en tiempos de Inteligencia Artificial y Realidad Aumentada Con una HUMANIDAD AUMENTADA en sus conceptos y materia prima ,pos,0.65
2021-03-10T00:12:05.000Z,RA realidad aumentada ,neu,0
2021-01-16T20:47:33.000Z,Lentes de realidad aumentada,neg,-0.25
2020-11-26T01:04:20.000Z,Pasa el futuro de la publicidad en el fútbol y otros deportes por la publicidad virtual y el uso de la realidad aumentada ,pos,0.313
2020-08-10T21:50:26.000Z,Tapabocas con realidad aumentada ,neu,0
2020-01-04T13:37:51.000Z,#TTQ Primer evento de del año Noche amena de reconocimientos charlas sobre Inteligencia artificial nanotecnología realidad aumentada transferencia tecnológica y debates sobre economía y política científica Qué más se puede pedir,pos,1.9629999999999999
2019-11-27T03:18:44.000Z,#RealidadAumentada en el Nuestros ojos solo ven una parte ,pos,0.25
2019-11-26T15:23:34.000Z,Ya lo vivimos en el mundial de #Rusia y en #LaCasaDelFútbol van a pasos adelantados El jugador desde los vestuarios del Bernabeu al noticiero La realidad aumentada,pos,0.275
2019-11-02T18:56:13.000Z,La App de realidad aumentada de que permite investigar y calificar acerca de los speakers #fluparaguay,neu,0
2019-10-24T21:13:31.000Z,Me siento muy feliz y agradecido por la invitación al estaré compartiendo con mucho entusiasmo una charla llamada Realidad Aumentada Nuestros ojos solo ven una parte ,pos,2.13
2019-06-01T18:55:58.000Z,Hubiera pegado pero ver dragones en realidad aumentada tipo como ocurrió en el SK Happy Dream Park de Corea del Sur Bueno ño ,pos,0.75
2019-05-04T17:44:34.000Z,Madonna se multiplica por cinco gracias a la magia de la realidad aumentada vía ,pos,0.35
2018-11-01T23:58:40.000Z,Niantic se está poniendo las pilas con la experiencia AR para los entrenadores de #PokemonGO En un futuro no muy lejano podremos interactuar como nunca con la Realidad Aumentada en gyms Ya les adelanto algo Esto se está preparando para la experiencia PvP,pos,1.083
2018-10-30T15:11:33.000Z,La realidad aumentada es el futuro En todavía poco o nada se está haciendo con esta tecnología pero definitivamente es el futuro ,neg,-0.375
2018-09-12T15:47:26.000Z,Viví la experiencia de #RealidadAumentada ExpoNegocios,pos,0.333
2018-06-27T14:39:38.000Z,The Walking Dead tendrá su juego de realidad aumentada Más info ,neu,0
2018-06-27T12:58:12.000Z,Y acá probando las videollamadas en Instagram con ¡Actualizá tu app También incorpora nuevos filtros de realidad aumentada y nueva pestaña Explora #AM,neu,0
2018-05-22T23:21:25.000Z,Cual de las siguientes actividades le brindan al protagonista una realidad aumentada RA de su mundo personal y una exacerbación de su ego,neg,-0.125
2018-04-27T21:30:29.000Z,Snapchat quiere ser popular de nuevo Se viene una nueva actualización que trae juegos con realidad aumentada y se llama Snappables mira el video y entérete de más ,pos,0.375
